Deployment Name,StoreKitchen Name,Item Code ,Item Name,Category Name ,Super Category Name ,Average Price ,Opening Date ,Opening Qty ,Unit ,Amt ,Purchase Qty ,Amt ,Indent Receive Qty ,Amt ,Indent Dispatch Qty ,Amt ,InternalIndent Receive Qty ,Amt ,InternalIndent Dispatch Qty ,Amt ,Stock In Qty ,Amt ,Consumption Qty ,Amt ,Yield Wastage ,Amt ,Stock Out Qty ,Amt ,Total (Stock Out + Consumption Qty) ,Amt ,Wastage Qty ,Amt ,Reuse Qty ,Amt ,Return Qty ,Amt ,Adjustment Qty ,Amt ,Closing Date ,Closing Qty ,Amt ,Latest Physical Qty ,Amt ,PhysicalGain/Loss Qty ,Amt ,Ideal Closing Qty ,Amt
outlet1,Kitchen Non veg,2182,AAAple,Retails,Retails,-,01-02-2025,0,KG,0,0,0,0,0,0,0,0,0,0,0,0.125,NaN,0.425,NaN,0,0,0,0,0.425,NaN,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,-0.3,0
outlet1,Kitchen Non veg,2182#,AAAple2,Retails,Retails,-,01-02-2025,0,KG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,1843,abc,SA_Raw,SA_Super 1,-,01-02-2025,0,RTkg,0,0,0,0,0,0,0,0,0,0,0,0.0135,NaN,0.0458,NaN,0,0,0,0,0.0458,NaN,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,-0.0323,0
outlet1,Kitchen Non veg,2167,abc3d,Retails,Retails,-,01-02-2025,0,KL(S),0,0,0,0,0,0,0,0,0,0,0,0,0,2988.0276,NaN,0,0,0,0,2988.0276,NaN,537.0516,NaN,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,-3525.0792,0
outlet1,Kitchen Non veg,ABSOFT001,Absoft Item 1,Vegetables2123,Retails,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,2204,Acai Puree,Sauces and Dressings,Sauces (Food),-,01-02-2025,0,grams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,118,Acrylic Hand Menu Stand,Print & Stationary,Print & Stationary,-,01-02-2025,0,NOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,E_1213_K,alift item test,Alif report super catrgory category testing,Alif Super category,-,01-02-2025,0,Sync Unit Test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,2219,All Day Breakfast Bowl (New),MTS Packaging,MTS Packaging (Direct Packaging),-,01-02-2025,0,each,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,2225,All Day Breakfast Bowl Lid (New),MTS Packaging,MTS Packaging (Direct Packaging),-,01-02-2025,0,each,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,103,Alluminiun Kot Holder,Equipment & Utensil,Equipment & Utensil,-,01-02-2025,0,1 P Name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,2194,Almond Butter,Dry Store dry store dry store dry store dry store dry store,Dry Products (Food) Dry Products (Food) Dry Products (Food) Dry Products (Food),-,01-02-2025,0,grams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,110,Almond Cocoa Butter Spread,Raw materials,Raw Materials sc,-,01-02-2025,0,KG,0,0,0,0,0,0,0,0,0,0,0,0,0,111,NaN,0,0,0,0,111,NaN,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,-111,0
outlet1,Kitchen Non veg,87,Aloe-Lemonade,LOCAL FOOD,Raw materials,-,01-02-2025,0,NOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg, - ,Alohomora,Retails,Retails,-,01-02-2025,0,KG Try,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,1924,aloo tikki burger,1Molecular Cocktail1,COCKTAILS1,-,01-02-2025,0,TIN 500 GM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg, - ,Amirya Item Test,Saini Raw_Materials,Saini Restro Store_items,-,01-02-2025,0,1KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,AP07,AP Item 1 AP,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg, - ,AP Item 10,Juice C BK,Juices SC BK,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg, - ,AP Item 11,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,KKJJL1,AP Item 12,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,2KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg, - ,AP Item 13,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,KKJJL~!@,AP Item 14,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,2KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,123)(*&^%,AP Item 15,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg, - ,AP Item 16,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,2KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg, - ,AP Item 17,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,AP18,AP Item 18,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,AP19,AP Item 19,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,2KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,AP08,AP Item 2,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg, - ,AP Item 20,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,2KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg, - ,AP Item 21,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,123A3,AP Item 23,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,AP24,AP Item 24,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,212w,AP item 26,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,AP10,AP Item 3,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,AP09,AP Item 4,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,AP009,AP Item 5,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,AP100,AP Item 6,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg, - ,AP Item 8,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,EX01,AP Item ED NA-R,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,EX05,AP Item ED P-R,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,EX03,AP Item ED R-R,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
outlet1,Kitchen Non veg,EX04,AP Item ED SP-R,Milkshakes C OT,Shakes SC OT,-,01-02-2025,0,KG AP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30-04-2025,0,0,NA,NA,NaN,NaN,0,0
